Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-16,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-17,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-18,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-19,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-20,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-23,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-24,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-25,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-26,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-27,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-30,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-03-31,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-01,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-02,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-03,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-06,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-07,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-08,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-09,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-10,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-13,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-14,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-15,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-16,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-17,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-20,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-21,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-22,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-23,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-24,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-27,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-28,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
